freq,nrg_bal,siec,unit,geo\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,FC_E,E7000,KTOE,SK	2156.836 	2077.128 	2095.529 	2148.495 	2218.659 	2230.009 	2166.122 	2047.549 	2196.819 	1966.466 	1829.149 	1841.101 
A,FC_E,E7000,KTOE,TR	16867.412 	17664.832 	18443.766 	19619.089 	21143.117 	21920.415 	21771.914 	22246.320 	24298.134 	24271.700 	24538.903 	: 
A,FC_E,E7000,KTOE,UA	11825.537 	11039.295 	10231.212 	10098.022 	10091.625 	10202.356 	10033.440 	9760.138 	: 	: 	: 	: 
A,FC_E,E7000,KTOE,UK	27201.892 	26047.979 	26103.690 	26151.390 	25767.914 	25843.455 	25397.627 	: 	: 	: 	: 	: 
A,FC_E,E7000,KTOE,XK	399.398 	401.892 	397.420 	332.846 	373.042 	378.170 	405.293 	420.799 	498.885 	491.227 	470.344 	: 
A,FC_E,G3000,KTOE,AL	5.589 	6.836 	11.156 	10.035 	12.500 	7.380 	6.480 	6.479 	6.479 	5.900 	10.745 	: 
A,FC_E,G3000,KTOE,AT	4728.817 	4379.510 	4561.275 	4728.307 	4786.540 	4655.569 	4782.016 	4687.580 	4943.786 	4361.235 	3864.259 	3769.781 
A,FC_E,G3000,KTOE,BA	: 	111.113 	131.814 	135.877 	148.776 	148.066 	139.983 	125.194 	157.696 	155.869 	137.769 	: 
A,FC_E,G3000,KTOE,BE	9798.735 	8346.059 	8955.219 	9312.958 	9464.377 	9528.557 	9474.563 	9359.719 	10394.951 	8465.742 	8319.603 	8678.653 
A,FC_E,G3000,KTOE,BG	1155.946 	1178.714 	1299.653 	1300.577 	1352.784 	1301.770 	1145.600 	1162.107 	1316.819 	1110.782 	1013.592 	1098.628 
A,FC_E,G3000,KTOE,CY	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,FC_E,G3000,KTOE,CZ	5366.982 	4806.750 	5024.183 	5283.979 	5529.428 	5166.221 	5187.282 	5158.445 	5502.155 	4716.529 	4206.734 	4253.323 
A,FC_E,G3000,KTOE,DE	52845.562 	47428.560 	49302.236 	52415.565 	52772.205 	53196.069 	52364.088 	52063.999 	57149.148 	49720.475 	45683.363 	45028.242 
A,FC_E,G3000,KTOE,DK	1579.906 	1444.396 	1515.338 	1565.274 	1583.300 	1554.351 	1522.425 	1476.450 	1582.902 	1227.296 	1179.264 	1216.856 
A,FC_E,G3000,KTOE,EE	250.043 	223.839 	222.420 	252.429 	228.974 	253.112 	246.561 	249.087 	264.844 	178.315 	161.530 	177.483 
A,FC_E,G3000,KTOE,EL	907.550 	834.590 	968.847 	1047.506 	846.616 	811.551 	896.491 	1097.870 	1177.282 	1182.180 	1074.175 	1170.628 
A,FC_E,G3000,KTOE,ES	14792.343 	14301.207 	13642.911 	14108.113 	14291.408 	14910.125 	15149.484 	14614.761 	15515.609 	13222.706 	12845.507 	13459.644 
A,FC_E,G3000,KTOE,EU27_2020	209706.232 	186287.920 	193132.273 	200968.995 	202457.944 	202415.226 	199629.712 	195064.789 	214999.173 	183878.042 	171174.008 	172376.245 
A,FC_E,G3000,KTOE,FI	704.420 	670.771 	616.101 	602.436 	656.085 	628.288 	709.595 	702.909 	773.015 	620.184 	551.077 	571.371 
A,FC_E,G3000,KTOE,FR	33257.997 	27929.303 	28656.901 	30062.308 	29262.621 	28886.585 	28023.957 	26349.070 	28911.004 	24450.096 	22525.824 	22642.273 
A,FC_E,G3000,KTOE,GE	1020.703 	1232.854 	1289.483 	1291.354 	1406.288 	1392.751 	1517.518 	1575.896 	1776.734 	2021.021 	: 	: 
A,FC_E,G3000,KTOE,HR	993.272 	938.220 	977.236 	1031.003 	1081.412 	1075.985 	1094.600 	1100.120 	1163.156 	1048.174 	1015.936 	988.107 
A,FC_E,G3000,KTOE,HU	5333.749 	5002.236 	5293.358 	5539.940 	5709.351 	5570.077 	5481.406 	5689.875 	6084.179 	5195.077 	4514.854 	4489.617 
A,FC_E,G3000,KTOE,IE	1624.916 	1612.579 	1709.309 	1785.164 	1812.546 	1952.820 	1963.938 	1950.099 	1938.341 	1800.224 	1650.560 	1767.002 
A,FC_E,G3000,KTOE,IS	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 
A,FC_E,G3000,KTOE,IT	35222.270 	30902.709 	32983.835 	33237.016 	33921.458 	33628.571 	33042.585 	31807.236 	36585.104 	31572.198 	29468.679 	29899.467 
A,FC_E,G3000,KTOE,LT	552.042 	522.034 	518.938 	551.268 	569.827 	596.943 	584.104 	582.797 	647.936 	585.775 	572.448 	576.520 
A,FC_E,G3000,KTOE,LU	601.281 	574.630 	602.274 	633.094 	623.545 	623.441 	623.363 	564.292 	607.539 	478.472 	459.127 	493.285 
A,FC_E,G3000,KTOE,LV	343.616 	326.655 	316.531 	321.257 	328.006 	344.481 	323.605 	322.927 	351.489 	297.519 	277.729 	284.320 
A,FC_E,G3000,KTOE,MD	351.376 	347.614 	353.697 	376.397 	385.912 	437.745 	422.848 	439.638 	532.911 	397.377 	322.223 	: 
A,FC_E,G3000,KTOE,ME	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 
A,FC_E,G3000,KTOE,MK	26.978 	33.641 	31.492 	38.049 	44.088 	43.341 	43.149 	43.948 	52.462 	42.621 	46.776 	: 
A,FC_E,G3000,KTOE,MT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,FC_E,G3000,KTOE,NL	19482.028 	15987.856 	16955.134 	17507.609 	17371.194 	17224.955 	16654.184 	15926.083 	17145.223 	13539.490 	12659.994 	12383.632 
A,FC_E,G3000,KTOE,NO	418.533 	415.956 	416.851 	411.319 	447.585 	404.523 	438.048 	376.497 	402.708 	377.420 	343.336 	: 
A,FC_E,G3000,KTOE,PL	8883.652 	8347.723 	8489.904 	9225.162 	9169.389 	9235.756 	9287.008 	9182.373 	10746.286 	9635.343 	9397.235 	9656.059 
A,FC_E,G3000,KTOE,PT	1566.681 	1547.721 	1614.736 	1635.545 	1740.837 	1803.923 	1814.878 	1692.837 	1871.611 	1696.235 	1644.312 	1670.914 
A,FC_E,G3000,KTOE,RO	5681.126 	5466.230 	5299.291 	5203.912 	5640.438 	5755.425 	5626.161 	5846.885 	6550.678 	5379.734 	5001.074 	4968.897 
A,FC_E,G3000,KTOE,RS	1002.128 	675.774 	743.900 	790.445 	943.221 	1037.949 	915.242 	845.900 	1092.014 	1133.034 	1064.045 	: 
A,FC_E,G3000,KTOE,SE	496.367 	528.654 	568.422 	460.533 	355.723 	464.954 	475.195 	471.085 	458.477 	390.490 	312.364 	327.664 
